nat	lev	percV	sd_V	sd_C	VarcoV	VarcoC	nPVI-V	rPVI-C
can	ne	0.67	1.01	0.06	323.91	57.11	57.45	0.07
can	ne	0.82	1.65	0.07	276.61	63.96	63.05	0.07
can	ne	0.28	0.07	0.17	80.93	88.57	76.21	0.2
can	ne	0.24	0.06	0.12	75	77.96	53.33	0.1
can	ne	0.21	0.05	0.23	59.96	107.93	61.21	0.24
can	ne	0.66	1.05	0.32	262.35	164.43	77.65	0.23
can	ne	0.19	0.03	0.24	50.09	127.86	59.96	0.21
can	ne	0.32	0.08	0.12	86.08	80.7	61.65	0.12
can	ne	0.92	2.46	0.04	221.75	44.2	91.37	0.07
can	ne	0.91	2.47	0.05	229.41	51.41	98.95	0.05
can	ne	0.23	0.03	0.16	50.31	94.01	57.08	0.14
can	ne	0.89	2.16	0.06	217.45	60.09	87.63	0.06
can	ne	0.45	0.08	0.04	62.91	26.67	58.63	0.04
can	ne	0.25	0.05	0.11	77.1	72.32	63.3	0.1
can	ne	0.36	0.07	0.07	69.03	40.04	69.01	0.07
can	ne	0.38	0.07	0.06	82.53	57.96	69.57	0.09
can	ne	0.39	0.08	0.04	79.52	36.05	74.51	0.06
can	ne	0.27	0.05	0.09	66.1	66.67	83.57	0.11
can	ne	0.2	0.04	0.38	63.83	203.23	40.21	0.2
can	ne	0.4	0.09	0.09	77.73	69.22	61.27	0.08
can	ne	0.21	0.05	0.28	69.27	159.7	64.41	0.21
can	ne	0.29	0.09	0.24	87.88	143.97	68.52	0.16
can	ne	0.29	0.1	0.18	140.3	129.23	54.86	0.12
can	ne	0.26	0.09	0.22	92.83	133.41	82.74	0.21
can	ne	0.18	0.04	0.34	62.51	172.53	78.13	0.22
can	ne	0.34	0.09	0.12	81.53	63.78	79.18	0.16
can	ne	0.26	0.09	0.3	96.67	143.85	84.1	0.24
can	ne	0.52	0.42	0.11	249.24	80.57	76.54	0.1
can	ne	0.31	0.05	0.23	59.54	156.6	81.02	0.14
can	ne	0.25	0.09	0.28	103.8	163.25	73.24	0.19
can	ne	0.24	0.08	0.31	115.04	160.15	54.94	0.21
can	ne	0.39	0.11	0.18	92.84	125.29	111.73	0.15
can	ne	0.46	0.11	0.12	88.71	102.98	74.03	0.09
can	ne	0.27	0.1	0.19	93.81	114.58	82.27	0.12
can	ne	0.27	0.04	0.12	52.28	82.51	63.28	0.08
can	ne	0.41	0.07	0.09	60.98	70.81	76.19	0.08
can	ne	0.23	0.05	0.34	60.84	183.75	69.54	0.23
can	ne	0.4	0.06	0.06	67.07	56.51	69.88	0.07
can	ne	0.21	0.05	0.19	72.64	110.09	76.95	0.15
can	ne	0.65	0.58	0.08	236.88	73.58	70.16	0.07
can	ne	0.4	0.03	0.09	16.78	60.22	20.2	0.12
can	ne	0.38	0.07	0.09	47.43	68.2	60.95	0.09
can	ne	0.33	0.06	0.07	46.66	45.92	71.02	0.1
can	ne	0.39	0.08	0.08	61.7	57.15	106.04	0.06
can	ne	0.37	0.08	0.08	64.55	56.65	111.03	0.09
can	ne	0.76	1.25	0.06	241.45	49.26	96.65	0.09
can	ne	0.73	1.17	0.06	250.79	48.74	84.23	0.08
can	ne	0.27	0.06	0.06	89.91	47.71	63.75	0.08
can	ne	0.67	0.91	0.06	251.49	44.85	87.93	0.06
can	ne	0.24	0.08	0.16	56.47	63.26	85.53	0.22
can	ne	0.24	0.05	0.14	60.68	78.89	84.5	0.13
can	ne	0.25	0.06	0.13	69.66	80.51	118.73	0.1
can	ne	0.22	0.05	0.14	73.82	85.19	107.05	0.11
can	ne	0.22	0.04	0.13	69.97	93.22	71.9	0.1
can	ne	0.14	0.03	0.53	55.2	131.86	67.33	0.36
can	ne	0.32	0.03	0.03	41.42	23.57	41.92	0.04
can	ne	0.29	0.05	0.05	70.9	35.34	78	0.05
can	ne	0.89	2.97	0.03	301.17	22.3	63.22	0.02
can	ne	0.84	1.75	0.03	285.78	24.31	61.78	0.03
can	ne	0.28	0.04	0.09	65.33	67.97	68.99	0.07
can	ne	0.24	0.04	0.19	68.27	120.76	70.14	0.13
can	ne	0.3	0.04	0.12	52.29	90.69	57.91	0.12
can	ne	0.31	0.04	0.05	59.99	39.14	48.31	0.06
can	ne	0.22	0.1	0.22	132.64	122.75	54.87	0.16
can	ne	0.2	0.08	0.28	119.23	155.37	56.22	0.19
can	ne	0.23	0.08	0.25	119.59	173.31	59.4	0.14
can	ne	0.14	0.04	0.26	70.58	117.45	52.16	0.18
can	ne	0.21	0.08	0.23	105.93	115.43	64.41	0.19
can	ne	0.25	0.08	0.16	107.66	109.51	75.5	0.11
can	ne	0.36	0.03	0.05	43.79	45.83	51.99	0.05
can	ne	0.33	0.08	0.05	108.98	47.04	72.59	0.07
can	ne	0.33	0.05	0.05	57.3	41.02	57.34	0.06
can	ne	0.4	0.05	0.07	33.22	38.25	58.91	0.06
can	ne	0.76	1.22	0.06	232.62	39.07	84.57	0.07
can	ne	0.37	0.09	0.07	94.34	51.82	85.53	0.07
can	ne	0.35	0.05	0.09	51.87	53.43	71.93	0.1
can	ne	0.32	0.05	0.07	53.8	49.09	72.72	0.09
can	ne	0.24	0.04	0.07	68.95	46.28	63.2	0.07
can	ne	0.85	1.76	0.05	225.17	42.08	88.95	0.05
can	ne	0.39	0.05	0.05	57.32	43.72	88.77	0.07
can	ne	0.38	0.05	0.06	53.38	51.57	100.77	0.07
can	ne	0.41	0.06	0.11	46.06	65.75	66.13	0.12
can	ne	0.35	0.05	0.08	52.98	52.39	49.91	0.14
can	ne	0.21	0.03	0.07	49.88	47.41	51.92	0.09
can	ne	0.24	0.04	0.06	64.64	42.58	66.86	0.06
can	ne	0.15	0.03	0.6	49.49	193.46	83.34	0.33
can	ne	0.26	0.04	0.08	57.32	61.64	75.11	0.09
can	ne	0.26	0.04	0.05	53.6	33.25	102.5	0.08
can	ne	0.39	0.09	0.02	93.74	13.48	105.19	0.02
can	ne	0.22	0.02	0.06	39.63	38.9	69.05	0.1
can	ne	0.37	0.06	0.05	71.44	50.4	93.42	0.08
can	ne	0.4	0.08	0.05	84.98	35.95	91	0.09
can	ne	0.35	0.05	0.05	62.89	44.91	54.25	0.08
can	ne	0.42	0.08	0.03	55.56	23.25	111.11	0.04
can	ne	0.33	0.06	0.07	65.42	48.71	111.67	0.08
can	ne	0.69	0.35	0.03	144.96	28.46	73.61	0.05
can	ne	0.19	0.01	0.05	21.76	35.57	25	0.05
can	ne	0.72	0.4	0.04	170.12	39.13	72.17	0.05
can	ne	0.36	0.03	0.08	38.03	70.61	81.95	0.06
