nat	lev	percV	sd_V	sd_C	VarcoV	VarcoC	nPVI-V	rPVI-C
can	ne	0.29	0.05	0.06	69.53	51.69	68.55	0.08
can	ne	0.26	0.04	0.05	64.65	39.36	68.01	0.05
can	ne	0.29	0.04	0.1	51.98	73.49	80.26	0.13
can	ne	0.21	0.04	0.23	64.17	134.46	47.11	0.14
can	ne	0.48	0.12	0.05	84.77	45.71	55.51	0.05
can	ne	0.26	0.06	0.15	77.67	97.25	70.93	0.12
can	ne	0.31	0.09	0.19	76.83	107.38	83.03	0.17
can	ne	0.31	0.11	0.12	148.6	99.98	57.75	0.08
can	ne	0.34	0.13	0.18	105.81	132.27	81.23	0.15
can	ne	0.27	0.08	0.21	89.23	126.48	74.52	0.14
can	ne	0.56	0.48	0.09	223.6	62.36	76.28	0.1
can	ne	0.38	0.14	0.24	93.55	125.81	99.48	0.2
can	ne	0.57	0.46	0.09	224.29	64.1	67.87	0.1
can	ne	0.33	0.04	0.18	48.11	128.55	73.09	0.11
can	ne	0.27	0.07	0.16	86	101.75	58.28	0.12
can	ne	0.32	0.1	0.16	103.66	94.79	58.7	0.13
can	ne	0.41	0.13	0.13	102.93	90.41	112.97	0.1
can	ne	0.46	0.1	0.13	76.93	114.47	70.73	0.09
can	ne	0.31	0.09	0.16	72.07	101.22	62.54	0.1
can	ne	0.24	0.04	0.14	57.18	88.65	47.66	0.09
can	ne	0.74	1.14	0.06	264.1	56.04	92.47	0.07
can	ne	0.29	0.05	0.17	58.07	108.21	77.22	0.12
can	ne	0.5	0.13	0.06	105.91	64.22	80.83	0.04
can	ne	0.31	0.1	0.09	97.2	56.87	87.4	0.08
can	ne	0.72	1.04	0.14	283.66	121.47	94.37	0.09
can	ne	0.34	0.04	0.12	24.94	81.63	41.03	0.08
can	ne	0.34	0.07	0.12	52.03	77.09	77.25	0.09
can	ne	0.35	0.07	0.1	64.36	72.1	108.95	0.06
can	ne	0.35	0.07	0.1	59.77	66.92	94.49	0.05
can	ne	0.35	0.05	0.08	51.29	65.85	73.75	0.07
can	ne	0.78	1.44	0.05	253.62	36.91	73.69	0.06
can	ne	0.76	1.36	0.05	263.37	43.2	97.76	0.08
can	ne	0.73	1.19	0.06	253.93	44.77	79.74	0.08
can	ne	0.64	0.93	0.06	258.42	42.53	85.69	0.07
can	ne	0.37	0	0.11	2.72	63.15	5.71	0.13
can	ne	0.34	0.06	0.11	46.01	59.4	58.12	0.13
can	ne	0.32	0.07	0.1	57.34	64.9	100.64	0.09
can	ne	0.3	0.06	0.1	63.59	66.21	119.28	0.09
can	ne	0.33	0.07	0.08	76.2	66.81	103.52	0.06
can	ne	0.25	0.04	0.08	62.94	42	75.25	0.1
can	ne	0.24	0.05	0.09	63.65	47.16	56.87	0.07
can	ne	0.36	0.06	0.05	59.94	31.42	66.67	0.06
can	ne	0.9	3.19	0.04	298.22	35.6	63.76	0.05
can	ne	0.91	3.29	0.03	302	28.91	50.28	0.03
can	ne	0.28	0.05	0.09	75.97	62.26	74.24	0.07
can	ne	0.34	0.04	0.04	62.68	39.89	46.1	0.04
can	ne	0.31	0.04	0.05	56.96	45.89	50.9	0.04
can	ne	0.34	0.03	0.05	51.12	52.85	46.38	0.06
can	ne	0.25	0.07	0.15	91.65	104.32	70.69	0.12
can	ne	0.23	0.06	0.17	77.21	105.71	73.72	0.12
can	ne	0.26	0.05	0.12	75.52	88.68	70.24	0.08
can	ne	0.22	0.07	0.16	86.73	85.01	67.99	0.12
can	ne	0.23	0.07	0.19	87.91	99.57	65.53	0.15
can	ne	0.26	0.09	0.17	104.11	104.64	80.62	0.13
can	ne	0.42	0.04	0.06	35.88	46.87	48.95	0.06
can	ne	0.33	0.04	0.04	59.74	39.25	76.29	0.06
can	ne	0.35	0.06	0.07	60.86	56.67	101.47	0.08
can	ne	0.3	0.09	0.15	73.36	70.67	65.03	0.15
can	ne	0.79	1.1	0.06	227.51	50.82	85.26	0.09
can	ne	0.37	0.08	0.07	89.22	64.86	69.84	0.06
can	ne	0.39	0.05	0.07	53.14	51.49	63.98	0.09
can	ne	0.45	0.05	0.08	34.71	62.71	37.79	0.1
can	ne	0.27	0.07	0.1	79.24	59.16	61.96	0.07
can	ne	0.85	1.84	0.06	223.65	49.15	93.99	0.06
can	ne	0.35	0.06	0.06	73.59	44.15	57.13	0.07
can	ne	0.38	0.04	0.07	43.22	63.2	60.39	0.07
can	ne	0.77	1.1	0.06	232.61	49.67	59.07	0.08
can	ne	0.38	0.05	0.05	54.04	40.52	56.94	0.09
can	ne	0.23	0.03	0.05	62.45	43.48	30	0.07
can	ne	0.24	0.03	0.06	53.93	48.93	57.19	0.05
can	ne	0.4	0.06	0.06	60.2	48.86	69.73	0.06
can	ne	0.26	0.03	0.05	54.12	46.21	75.14	0.05
can	ne	0.31	0.05	0.09	49.67	50.43	55.52	0.11
can	ne	0.71	0.57	0.02	143.23	13.26	152.72	0.02
can	ne	0.24	0.03	0.1	35.67	53.32	54.97	0.12
can	ne	0.25	0.07	0.1	88.39	54.02	71.43	0.19
can	ne	0.72	0.56	0.06	151.53	41.63	83.72	0.12
can	ne	0.28	0.06	0.08	69.03	51.06	74.79	0.1
can	ne	0.19	0.03	0.12	41.18	48.55	82.35	0.13
can	ne	0.37	0.1	0.09	74.05	54.46	123.75	0.08
can	ne	0.68	0.51	0.03	162.46	23.17	114.46	0.04
can	ne	0.2	0.01	0.13	20.2	63.52	20	0.17
can	ne	0.74	0.51	0.04	172.83	38.92	73.7	0.06
can	ne	0.36	0.04	0.07	36.06	50.96	75	0.06
can	ne	0.25	0.03	0.07	52.85	47.43	36.57	0.06
can	ne	0.17	0.04	0.15	66.55	51.25	57.14	0.29
can	ne	0.28	0.02	0.06	34.31	34.23	70.59	0.1
can	ne	0.59	0.29	0.07	143.6	39.9	115.35	0.12
can	ne	0.11	0.02	0.12	27.27	40.9	54.55	0.15
can	ne	0.24	0.03	0.04	33.12	19.17	45.52	0.06
can	ne	0.54	0.11	0.08	58.13	47.25	119.23	0.11
can	ne	0.29	0.03	0.05	41.18	30.45	80.83	0.05
can	ne	0.27	0.02	0.1	20	31.34	40	0.21
can	ne	0.35	0.08	0.06	69.5	25.51	71.9	0.11
can	ne	0.24	0.03	0.05	29.41	28.33	58.82	0.06
can	ne	0.78	0.58	0.04	136.66	33.85	100.04	0.07
can	ne	0.91	0.83	0	82.18	4.76	164.36	0.01
can	ne	0.27	0.05	0.1	62.73	56.71	108.42	0.08
can	ne	0.15	0.01	0.11	16.67	49.93	33.33	0.17
can	ne	0.79	0.7	0.04	156.54	32.84	79.46	0.05
can	ne	0.2	0.02	0.07	36.26	43.13	47.62	0.09
can	ne	0.25	0.03	0.09	34.64	41.6	22.22	0.13
can	ne	0.21	0.04	0.04	48.02	13.46	105.45	0.05
can	ne	0.22	0.04	0.06	67.57	35.04	46.25	0.06
can	ne	0.32	0.05	0.09	66.93	51.11	79.82	0.05
can	ne	0.23	0.02	0.08	37.65	41.38	57.94	0.1
can	ne	0.15	0.01	0.05	20.41	26.03	36.11	0.03
can	ne	0.17	0.01	0.06	19.51	35.68	33.6	0.07
can	ne	0.2	0.01	0.06	16.64	32.45	16.67	0.06
can	ne	0.75	0.57	0.06	163.27	63.96	74.87	0.07
can	ne	0.77	0.8	0.05	162.53	38.19	81.18	0.05
can	ne	0.3	0.06	0.07	40.74	34.99	81.48	0.09
can	ne	0.29	0.05	0.08	25	33.98	50	0.12
can	ne	0.31	0.02	0.1	15.38	65.27	30.77	0.11
can	ne	0.25	0.01	0.06	5.88	23.16	11.76	0.08
can	ne	0.22	0.07	0.03	56.52	10.75	113.04	0.05
can	ne	0.23	0.05	0.04	35.48	15.43	70.97	0.04
can	ne	0.27	0.03	0.06	49.25	52.11	34.86	0.08
can	ne	0.22	0.03	0.14	40.54	72.46	47.34	0.21
can	ne	0.31	0.04	0.07	45.93	47.85	63.22	0.13
can	ne	0.33	0.07	0.05	65.24	27.86	70.63	0.07
can	ne	0.35	0.04	0.06	33.33	43.97	66.67	0.12
can	ne	0.29	0.02	0.05	11.76	24.97	23.53	0.05
