Spk	Consonant	f2	f3
S2	lateral	1011.099751	2664.773381
S2	lateral	2526.259527	3883.631181
S2	lateral	995.6726905	2955.531334
S2	lateral	990.9673677	3222.575459
S2	lateral	1295.047559	3039.672049
S2	lateral	1065.544512	2661.589903
S2	lateral	869.2912831	2775.881731
S2	lateral	1428.457565	3411.479058
S2	lateral	1749.066497	3270.001405
S2	lateral	1208.870726	3095.151772
S2	lateral	889.1908594	2980.249451
S2	lateral	898.5767667	2581.386752
S2	lateral	949.218361	3014.536169
S2	lateral	819.2946211	3059.65888
S2	lateral	855.3243774	2863.966198
S2	lateral	642.2541681	2950.691953
S2	lateral	852.8015841	3079.482318
S2	lateral	1007.908565	3604.912562
S2	lateral	957.7327292	3365.254452
S2	lateral	787.2904687	2981.550463
S2	lateral	820.485487	2876.633644
S2	lateral	899.2160054	3294.611825
S2	lateral	1007.908565	3604.912562
S2	lateral	824.9615639	3774.738308
S2	lateral	904.6299071	2790.325812
S2	lateral	847.4636555	3219.479059
S2	lateral	751.3963898	2844.301639
S2	lateral	941.942954	3087.658325
S2	lateral	1195.898379	2551.311511
S2	lateral	1036.644084	2698.205578
S2	lateral	1020.679202	3007.93664
S2	lateral	677.422696	3070.254694
S2	lateral	850.6333083	3466.051998
S2	lateral	973.6699025	3311.17246
S2	lateral	749.7302227	3006.896776
S2	lateral	687.3816811	3057.906419
S2	lateral	879.7798689	3063.28596
S2	lateral	994.4285363	2842.843596
S2	lateral	995.9789782	3027.117097
S2	lateral	791.6481534	3020.266681
S2	lateral	814.4886143	3269.517954
S2	lateral	819.1180797	3042.675617
S6	lateral	709.7024402	3373.198517
S6	lateral	998.5499095	4139.293872
S6	lateral	700.5828492	3343.891542
S6	lateral	1034.432836	3455.139189
S6	lateral	1021.191533	3181.897286
S6	lateral	837.5957473	3337.786235
S6	lateral	895.7300074	3514.442592
S6	lateral	1244.493398	3257.276723
S6	lateral	879.0296093	3188.951348
S6	lateral	964.8712612	3354.332885
S6	lateral	774.9863623	3588.177835
S6	lateral	1502.922149	3497.229747
S6	lateral	930.6196086	3347.30933
S6	lateral	861.0273689	3234.128045
S6	lateral	912.1195389	3238.167166
S6	lateral	889.5802409	3245.196134
S6	lateral	2054.471092	3510.147449
S6	lateral	1464.124045	3435.966003
S6	lateral	1051.357949	3161.091667
S6	lateral	1045.532771	1992.865766
S6	lateral	963.3780684	3251.860902
S6	lateral	1487.533258	3470.642165
S6	lateral	1089.141667	3367.565516
S6	lateral	903.778171	3106.339181
S6	lateral	1183.576471	3247.060181
S6	lateral	1419.014862	3366.877468
S6	lateral	950.5803479	3248.432795
S6	lateral	1523.916017	3159.551037
S6	lateral	932.5966571	3280.489036
S6	lateral	929.774175	2974.713792
S6	lateral	1219.502911	3339.764023
S6	lateral	959.4246644	3393.394511
S6	lateral	1005.83735	3584.967807
S6	lateral	926.5841107	3323.11706
S6	lateral	856.7570614	3358.484556
S6	lateral	1181.188423	3510.688404
S6	lateral	979.1149741	3258.379979
S6	lateral	1038.82066	3250.107193
S6	lateral	839.3097925	2711.819291
S6	lateral	953.1711747	3656.818863
S6	lateral	1342.470804	3479.13497
S6	lateral	895.1203775	3248.931873
S6	lateral	968.1537978	3247.169649
S6	lateral	967.5787132	3346.997456
S6	lateral	1891.219107	3394.679873
S6	lateral	1089.19513	2542.085499
S6	lateral	915.3274603	3092.214432
S6	lateral	759.5112403	3128.990706
S6	lateral	2129.623191	3588.746623
S6	lateral	746.162406	3303.867132
S6	lateral	921.4615377	3160.56752
S6	lateral	787.0499314	3083.077904
S6	lateral	860.7294731	2937.2865
S6	lateral	727.2720966	3202.570405
S6	lateral	1469.209023	3480.820791
S6	lateral	985.0487913	2792.173045
S6	lateral	838.8876552	3168.771567
S6	lateral	691.000104	3011.613509
S6	lateral	941.5733279	3095.977837
S6	lateral	894.192907	3189.387641
